i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
425,1896.5521034103128,425,0.6,190,114,1.7,3,1106,2,0,0,2,1,0,1,0,1,1,1,1,1.0,0.6,1.7,1.5,,
433,1603.7443678414434,433,0.7517241379310344,145,109,5.5,1,1882,8,2,1,5,1,0,0,1,1,0,1,1,0.8333333333333334,0.7517241379310344,5.5,4.1,,
366,2195.1491353209103,366,0.6532258064516129,124,81,1.7,2,3705,2,0,2,0,1,0,0,1,1,0,0,1,0.0,0.6532258064516129,1.7,1.5,,
4,2502.8494183130338,4,0.7650273224043715,183,140,5.3,3,1093,8,3,1,4,0,0,1,0,0,0,0,1,0.8,0.0,5.3,3.9,,
19,3973.7069322806956,19,0.31952662721893493,169,54,2.4,1,2067,3,0,2,1,1,0,1,0,1,0,1,1,0.3333333333333333,0.31952662721893493,2.4,2.0,,
440,744.6639187431721,440,0.7294117647058823,170,124,1.7,3,1106,2,0,0,2,0,0,1,0,1,1,0,1,1.0,0.0,1.7,1.5,,
61,622.6057555087385,61,0.5657142857142857,175,99,3.2,4,564,5,3,1,1,1,0,0,1,1,0,1,1,0.5,0.5657142857142857,3.2,2.4,,
428,839.7525826721408,428,0.6795580110497238,181,123,1.7,4,560,2,0,1,1,1,0,0,1,1,1,1,1,0.5,0.6795580110497238,1.7,1.5,,
269,917.2126052863655,269,0.5384615384615384,182,98,3.4,3,1003,5,2,3,0,1,0,0,1,1,0,1,1,0.0,0.5384615384615384,3.4,2.6,,
177,4862.0094154971885,177,0.40119760479041916,167,67,1.7,2,3640,2,0,2,0,1,0,0,1,1,0,0,1,0.0,0.40119760479041916,1.7,1.5,,
