menage,assaini,revenu_net_mois,c_m3_trim_1,c_m3_trim_2,c_ibt,c_ibt_pp,c_tbse,consom_nordin_trim,consom_taylor_trim,c_captive_jour,c_nordin_jour,c_taylor_jour,ln_c_captive_jour,ln_c_nordin_jour,ln_c_taylor_jour,sur_consommation_pct
51,0,1600.36,20.6972730739244,16.86483970153737,43.20105063564645,40.054127951154776,55.09747334230917,40.054127951154776,46.017961349199695,0.2299697008213822,0.4450458661239419,0.5113106816577744,3.0300019560342246,-0.8095779321857958,-0.6707778859394071,13.880004624638865
52,0,355.29,19.43425306442186,16.86483970153737,30.465769429391642,29.050853956748877,35.19368452159983,29.050853956748877,31.69321030746414,0.2159361451602429,0.32278726618609865,0.35214678119404597,2.9670371310686936,-1.1307617913628913,-1.0437071982725146,8.705459309037678
53,0,3737.78,14.229972585624068,13.534350885107655,37.302511038086905,34.01943252564843,46.89723660256814,34.01943252564843,40.46504750619503,0.1581108065069341,0.377993694729427,0.44961163895772255,2.655350485580163,-0.9728777641116537,-0.7993710933762451,17.35066707354086
54,0,1436.57,14.358300196408004,13.534350885107655,31.60574022381069,30.0,37.19411708149593,30.0,33.20704568992836,0.15953666884897783,0.3333333333333333,0.3689671743325373,2.6643281858900347,-1.0986122886681098,-0.9970475973470557,10.156469132105405
55,0,5414.62,14.182221957755416,13.534350885107655,40.419802243242515,37.19064453056427,51.29446326230885,37.19064453056427,43.402028518941826,0.15758024397506018,0.4132293836729363,0.48224476132157584,2.651989205426054,-0.8837524317942211,-0.7293034902484048,15.444894154581634
56,0,829.35,27.899630728561338,23.390731830811127,48.87626445072547,45.86334231200479,62.867027191429194,45.86334231200479,51.44655605908818,0.30999589698401486,0.5095926923556088,0.5716284006565353,3.3286134532042935,-0.674143514788523,-0.5592661479176814,11.48773668708416
57,0,467.86,27.58751574954774,23.390731830811127,42.406869583534004,39.37538044547331,53.66820599046785,39.37538044547331,45.13261633948665,0.3065279527727527,0.43750422717192566,0.501473514883185,3.317363342477037,-0.8266689111238872,-0.6902044847729741,13.646442635091304
58,0,292.82,29.43187969952596,23.390731830811127,40.427261566807246,37.45780457690506,50.654914873710766,37.45780457690506,43.14825459921325,0.32702088555028846,0.41619782863227844,0.4794250511023695,3.3820784303901363,-0.8765945821619248,-0.7351677032316066,14.142687893031813
61,0,622.61,23.142115838931048,18.77150199232523,38.593565195218595,35.43923323463035,48.46013360265395,35.43923323463035,41.565588818621876,0.2571346204325672,0.3937692581625595,0.46183987576246527,3.141654154012919,-0.931990180419132,-0.7725370372350701,15.94531431840619
62,0,865.03,13.778713313109836,10.802846566031105,27.271299488892396,25.743934246113668,31.383021032887537,25.743934246113668,28.53497867572276,0.1530968145901093,0.2860437138457074,0.31705531861914177,2.6231248877215694,-1.2516106342276236,-1.148679013644387,10.293162058323668
74,0,8623.95,24.677791215367062,18.77150199232523,71.85771032522722,63.41222206693192,100.29674202450614,63.41222206693192,77.88903451553752,0.27419768017074514,0.7045802451881324,0.8654337168393057,3.205903698085867,-0.35015305038525346,-0.14452449096197656,20.56285594232769
75,0,6077.77,25.18589996542188,18.77150199232523,67.68871161753029,60.0,93.76977428267709,60.0,74.09338474688697,0.279843332949132,0.6666666666666666,0.8232598305209663,3.2262843127430774,-0.40546510810816444,-0.1944834166843356,21.098169142382883
76,0,3077.2,24.150451087188806,18.77150199232523,58.01924613331547,55.00265878688971,75.79728427811776,55.00265878688971,60.47093428578161,0.26833834541320895,0.6111406531876634,0.6718992698420179,3.184303058482682,-0.4924281446863978,-0.3976468457629518,9.478129892344601
77,0,2192.52,17.05564038970384,13.534350885107655,38.93276220323145,35.69746093193897,49.15458592087687,35.69746093193897,41.97561076106166,0.18950711544115378,0.3966384547993219,0.4663956751229073,2.8364809636678125,-0.924730106428637,-0.7627209168814137,16.200918954722322
78,0,1666.83,19.039597362772252,19.039597362772252,40.4169858856603,37.221107486122506,51.20814555301986,37.221107486122506,43.36563179290761,0.21155108180858057,0.4135678609569167,0.48184035325452895,2.946520882226398,-0.8829336644238945,-0.7301424371103618,15.27912273135328
79,0,678.68,19.039597362772252,19.039597362772252,33.180445766148566,30.0,40.76042449716405,30.0,36.461012567653704,0.21155108180858057,0.3333333333333333,0.4051223618628189,2.946520882226398,-1.0986122886681098,-0.9035661294507453,19.504615921736445
80,0,1030.96,19.039597362772252,19.039597362772252,36.288758104619646,33.03296812034395,45.344603940834006,33.03296812034395,39.47087904906372,0.21155108180858057,0.3670329791149328,0.43856532276737464,2.946520882226398,-1.002303573616265,-0.8242465095819074,17.80570640343577
81,0,4066.28,17.42450345050224,15.067201826527109,45.68673849352193,42.54126976065034,58.652584313709426,42.54126976065034,48.44198174611144,0.19360559389446932,0.47268077511833706,0.5382442416234604,2.8578774598561814,-0.7493350123752777,-0.619442841125667,12.989217124961062
82,0,4532.13,18.191737763478805,15.067201826527109,48.74461446417887,45.632946048057036,62.92472096726935,45.632946048057036,51.40740765587738,0.20213041959420894,0.5070327338673004,0.5711934183986376,2.9009675219679827,-0.6791797136342798,-0.5600273904344947,11.915232319978507
83,0,794.92,16.703780500812524,15.067201826527109,31.64602916695459,30.0,37.234267181956234,30.0,33.28895712636991,0.18559756112013914,0.3333333333333333,0.36987730140411007,2.8156350710973994,-1.0986122886681098,-0.994583946167947,10.40283425001628
86,0,1749.55,17.926305499265588,13.534350885107655,38.7006822609981,35.46960786767794,48.80682019181672,35.46960786767794,41.748276240015144,0.1991811722140621,0.39410675408531043,0.4638697360001683,2.886269215033933,-0.9311334569292751,-0.7681515075500676,16.29819493792075
87,0,270.9,16.57021247577261,13.534350885107655,24.648010185457196,23.138531176090247,27.93659628836517,23.138531176090247,25.93403243166418,0.18411347195302902,0.2570947908454472,0.28815591590737977,2.807606654275547,-1.3583104261156818,-1.2442535706581919,11.40568554574899
88,0,1299.49,17.038119986608287,13.534350885107655,34.622283774092914,31.309055957880915,43.03033374410392,31.309055957880915,37.96179293931769,0.18931244429564764,0.34787839953201016,0.4217976993257521,2.8354531858900347,-1.0559022869035284,-0.8632294653720819,19.26728215314465
89,0,1066.05,24.759474810778386,21.014884317171944,46.38694042471112,43.31489620600685,59.4701793707745,43.31489620600685,49.05828016618454,0.2751052756753154,0.48127662451118725,0.5450920018464949,3.209208236395085,-0.7313130712508304,-0.606800687838307,12.451238341252346
90,0,465.69,23.980259322763455,21.014884317171944,37.33199403119662,34.187734521601215,46.59466639176066,34.187734521601215,40.34520348450286,0.26644732580848285,0.37986371690668014,0.44828003871669847,3.1772309636678124,-0.967942730307573,-0.8023371554310911,16.560557487648197
91,0,384.87,26.45255933543506,21.014884317171944,39.05657921123395,35.98934867537054,48.91471985899312,35.98934867537054,41.921558865265396,0.29391732594927844,0.39988165194856157,0.46579509850294887,3.275352914887325,-0.916586645780953,-0.7640094443374781,15.257720144347486
92,0,3534.66,15.019895842851065,11.788725031630772,38.66474665362941,35.41088697230373,48.810896676766276,35.41088697230373,41.73752703225243,0.16688773158723405,0.39345429969226364,0.46375030035836035,2.7093757117481005,-0.9327903558812567,-0.7684090173876876,16.438133849356905
93,0,13099.17,16.325023659578743,11.788725031630772,56.43620295141341,53.378691144516495,73.66950043574607,53.378691144516495,58.94044387333898,0.18138915177309714,0.5930965682724055,0.6548938208148776,2.792699124446513,-0.5223980462401752,-0.4232821621135634,9.911588412661176
94,0,460.7,16.71627338807062,11.788725031630772,28.170583449589277,26.671089775143177,32.389929301738825,26.671089775143177,29.399210874902064,0.18573637097856244,0.2963454419460353,0.3266578986100229,2.81638269932574,-1.2162294715109623,-1.1188418373355806,9.738763417538166
106,0,401.54,20.622920952565018,15.672343999352103,32.27652971690948,30.0,38.55861587207976,30.0,34.58001738362271,0.22914356613961132,0.3333333333333333,0.38422241537358565,3.0264031248399736,-1.0986122886681098,-0.9565336873678234,14.207860130028639
107,0,1921.32,21.586358510983292,15.672343999352103,46.82427478796368,43.71886100733243,60.17649620762385,43.71886100733243,49.51785306490428,0.23984842789981436,0.4857651223036937,0.5501983673878253,3.0720615647607086,-0.7220300593436184,-0.5974763978028168,12.45536615408016
108,0,3714.28,20.771135300806584,15.672343999352103,52.646820872286305,49.57926436565321,68.3464309921175,49.57926436565321,55.207935659415966,0.23079039223118428,0.5508807151739246,0.6134215073268441,3.0335642970011456,-0.5962369811537221,-0.48870296543403224,10.75340157196899
109,0,2343.9,17.364811651632888,13.534350885107655,40.168371596344066,36.95411113963468,50.894003746864655,36.95411113963468,43.14415218655405,0.19294235168480986,0.4106012348848298,0.47937946873948944,2.8544458397008703,-0.8901327668888459,-0.7352627848920933,15.486998199675261
110,0,6436.56,16.284780560120126,13.534350885107655,47.7173886452824,44.58792777214737,61.507871068401684,44.58792777214737,50.415666497760306,0.18094200622355697,0.4954214196905263,0.5601740721973367,2.7902309636678124,-0.7023465256986253,-0.5795077003451534,12.28388253534719
111,0,13133.36,17.917069100036695,13.534350885107655,61.654616849256556,58.622442394146105,80.90665231768624,58.622442394146105,64.06681314580081,0.19907854555596327,0.6513604710460679,0.7118534793977868,2.885753839484806,-0.42869207105457235,-0.339883176109945,8.880889494462735
115,0,4310.06,20.015217790776244,17.44418813428901,52.6530078314797,49.581526661474264,68.36486594407427,49.581526661474264,55.21751718312085,0.2223913087864027,0.5509058517941585,0.6135279687013427,2.9964928737631142,-0.5961913523159927,-0.48852942711506175,10.7661925200931
116,0,2625.31,20.454288793969155,17.44418813428901,47.882076983521664,44.776263326478016,61.6838441608587,44.776263326478016,50.5553630150188,0.22726987548854616,0.4975140369608668,0.5617262557224311,3.018192581476928,-0.6981315077848079,-0.57674063721692,12.139087056788789
117,0,1745.94,21.988663009831264,17.44418813428901,46.588688885404835,43.48517129830678,59.835953190565355,43.48517129830678,49.28529376836607,0.24431847788701405,0.48316856998118646,0.5476143752040674,3.090527002801557,-0.7273896800458233,-0.6021839346266692,12.520574541915408
138,0,819.27,20.280128786465525,15.067201826527109,36.47046530030103,33.2370987447621,45.55554364775826,33.2370987447621,39.61911043486633,0.22533476429406138,0.3693010971640233,0.4402123381651814,3.009641529120251,-0.9961429861991854,-0.8204980817383123,17.564490446087312
139,0,2322.41,19.8711371512089,15.067201826527109,45.32424753394636,42.19088653881504,58.104821200100126,42.19088653881504,48.076160516753085,0.22079041279120998,0.46878762820905606,0.5341795612972565,2.9892682844787135,-0.7576054314066095,-0.6270232394327271,13.058219197388244
140,0,984.42,18.644489253296733,15.067201826527109,35.258091588809116,31.978940645144768,43.88553937694935,31.978940645144768,38.521361452820464,0.20716099170329702,0.35532156272383075,0.4280151272535607,2.9255506200293415,-1.03473208901581,-0.848596739974551,18.613534904125906
141,0,1519.08,11.408917848477031,9.70382674009389,26.090380082929567,24.54295074903664,29.974055086890417,24.54295074903664,27.387933969483495,0.126765753871967,0.27269945276707375,0.3043103774387055,2.434395316999039,-1.2993849958540094,-1.1897071200031013,10.967787585090804
142,0,213.82,11.187845986683072,9.70382674009389,16.495928900722767,15.0,17.703867968765348,15.0,18.037302693737548,0.12430939985203414,0.16666666666666666,0.20041447437486165,2.414828009306731,-1.791759469228055,-1.6073676849602325,18.43917842678224
143,0,1977.82,11.041842440290027,9.70382674009389,26.91738561149886,25.37460604641045,31.007139098033203,25.37460604641045,28.19922739124296,0.12268713822544475,0.2819400671823383,0.31332474879158845,2.401691914632175,-1.2660607583534447,-1.1605150902351686,10.554566811827604
152,0,1519.29,20.579497046325137,16.86483970153737,42.47033311384831,39.31462836514104,54.06934729134009,39.31462836514104,45.31575805830509,0.22866107829250154,0.43682920405712267,0.5035084228700566,3.0242952911531926,-0.8282129976812778,-0.6861548383238064,14.205815935747134
153,0,1671.93,20.817280808030368,16.86483970153737,43.86635248341966,40.727252050684115,56.03245574355358,40.727252050684115,46.658523569368484,0.23130312008922632,0.45252502278537904,0.5184280396596498,3.0357834498556575,-0.7929122183978747,-0.6569540465571881,13.59581718406866
154,0,1087.92,22.858234477709942,16.86483970153737,43.310551982679996,40.19082364045158,55.18721183467673,40.19082364045158,46.098217702554095,0.253980383085666,0.4465647071161287,0.5122024189172677,3.1293114234379273,-0.8061709684127732,-0.669035382624842,13.713558578793128
155,0,740.85,16.023270247859084,12.091712698482599,30.267774856216732,28.79791015613206,35.0806688330628,28.79791015613206,31.50381421592157,0.17803633608732317,0.3199767795125784,0.3500423801769063,2.7740420561294736,-1.1395068498444534,-1.04970104560929,8.980580423516349
156,0,424.6,22.674693576318322,18.148071416139747,34.802098399230495,31.601506106040052,43.01512430224157,31.601506106040052,38.00345534558284,0.25194103973687026,0.35112784562266725,0.4222606149509205,3.121249482186331,-1.0466048892896298,-0.8621325845908576,18.44723046987722
160,0,831.71,21.612091326193628,16.86483970153737,38.734490605106366,35.55240673887066,48.734355594901565,35.55240673887066,41.72984514310748,0.2401343480688181,0.3950267415430073,0.46366494603452757,3.0732529416897902,-0.9288018162636849,-0.768593086658504,16.020872960518084
161,0,527.49,23.54786861024758,16.86483970153737,37.76828323698437,34.616342027360105,47.25139714793417,34.616342027360105,40.77102890893357,0.2616429845583064,0.3846260225262234,0.45301143232148416,3.1590353114938994,-0.9554837868417466,-0.79183791690478,16.364586993696662
162,0,3788.68,11.05239819506072,9.70382674009389,31.262479548742377,29.883243538421894,36.54891172980722,29.883243538421894,32.60949860084085,0.12280442438956356,0.33203603931579884,0.362327762231565,2.4026474356431065,-1.102511763800987,-1.0152060562730991,8.730570752788779
163,0,4927.05,10.416294728666678,9.70382674009389,31.409604306905926,30.0,36.79276382718895,30.0,32.809290559143854,0.11573660809629642,0.3333333333333333,0.3645476728793762,2.3433713808288257,-1.0986122886681098,-1.0090979462931362,8.951434237497358
