i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
114,600.6703387029997,114,0.6298701298701299,154,97,1.0,3,1106,1,0,0,1,1,0,1,0,1,1,0,1
115,4310.062803647477,115,0.37158469945355194,183,68,3.4,1,2035,5,2,2,1,1,0,0,1,1,0,1,1
116,2625.313540562708,116,0.43023255813953487,172,74,3.4,1,2035,5,2,2,1,1,0,0,1,1,0,1,1
117,1745.9437730791124,117,0.6257309941520468,171,107,3.4,1,2035,5,2,2,1,1,0,0,1,1,0,1,1
118,1676.9186425649332,118,0.7183908045977011,174,125,2.7,3,1003,4,2,0,2,1,0,1,0,1,0,1,1
119,385.52045616154794,119,0.7292817679558011,181,132,2.7,3,1003,4,2,0,2,1,0,1,0,1,0,1,1
120,1193.9665276967987,120,0.6337209302325582,172,109,2.7,3,1003,4,2,0,2,1,0,1,0,1,0,1,1
121,3743.548722053596,121,0.25,180,45,1.7,1,2187,2,0,1,1,0,0,1,0,0,0,1,1
122,4128.06423569427,122,0.25,184,46,1.7,1,2187,2,0,1,1,0,0,1,0,0,0,1,1
123,4839.979517818196,123,0.19230769230769232,182,35,1.7,1,2187,2,0,1,1,0,0,1,0,0,0,1,1
124,207.81207964814166,124,0.34710743801652894,121,42,2.7,6,2848,4,2,2,0,1,0,1,0,1,0,1,1
125,2411.3938767892923,125,0.628099173553719,121,76,2.7,6,2848,4,2,2,0,1,0,1,0,1,0,1,1
126,2441.9853651399135,126,0.7951807228915663,166,132,3.1,3,1093,4,0,2,2,1,0,1,0,1,0,1,1
127,2320.116915756106,127,0.9130434782608695,184,168,3.1,3,1093,4,0,2,2,1,0,1,0,1,0,1,1
128,997.9745378932697,128,0.78125,192,150,3.1,3,1093,4,0,2,2,1,0,1,0,1,0,1,1
129,1581.1320659535336,129,0.6781609195402298,174,118,3.4,3,1093,5,2,1,2,0,0,1,0,0,0,0,1
130,356.81025655894905,130,0.7228915662650602,166,120,3.4,3,1093,5,2,1,2,0,0,1,0,0,0,0,1
131,1116.4286992889256,131,0.583732057416268,209,122,3.4,3,1093,5,2,1,2,0,0,1,0,0,0,0,1
132,5940.120755541956,132,0.47023809523809523,168,79,2.7,2,3550,4,2,1,1,1,0,1,0,1,0,1,1
133,429.6333886608404,133,0.653179190751445,173,113,2.7,2,3550,4,2,1,1,1,0,1,0,1,0,1,1
134,1752.9472874406742,134,0.5049019607843137,204,103,2.7,2,3550,4,2,1,1,1,0,1,0,1,0,1,1
135,1062.9590280066204,135,0.7094972067039106,179,127,2.2,3,1110,3,1,2,0,0,0,1,0,0,0,0,1
136,1953.5410714256473,136,0.6502732240437158,183,119,2.2,3,1110,3,1,2,0,0,0,1,0,0,0,0,1
137,589.3751287609912,137,0.6436170212765957,188,121,2.2,3,1110,3,1,2,0,0,0,1,0,0,0,0,1
138,819.2703298691579,138,0.803030303030303,132,106,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1
139,2322.407066842021,139,0.7479674796747967,123,92,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1
140,984.4184217604197,140,0.5757575757575758,66,38,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1
141,1519.0823541225343,141,0.4375,176,77,1.5,3,1110,2,1,1,0,1,0,0,1,1,0,1,1
142,213.82136964282847,142,0.38461538461538464,182,70,1.5,3,1110,2,1,1,0,1,0,0,1,1,0,1,1
143,1977.8188856130423,143,0.34911242603550297,169,59,1.5,3,1110,2,1,1,0,1,0,0,1,1,0,1,1
144,3464.628683874527,144,0.7252747252747253,182,132,1.7,1,2187,2,0,2,0,1,0,1,0,1,0,0,1
145,3939.760095567523,145,0.7209302325581395,172,124,1.7,1,2187,2,0,2,0,1,0,1,0,1,0,0,1
146,3450.9843939850844,146,0.8908045977011494,174,155,1.7,1,2187,2,0,2,0,1,0,1,0,1,0,0,1
147,3254.0249708582173,147,0.7267441860465116,172,125,3.2,3,1093,5,3,0,2,0,0,1,0,1,0,0,1
148,1663.1250025349868,148,0.6228571428571429,175,109,3.2,3,1093,5,3,0,2,0,0,1,0,1,0,0,1
149,1283.4839710639476,149,0.7237569060773481,181,131,3.2,3,1093,5,3,0,2,0,0,1,0,1,0,0,1
150,1180.351625418713,150,0.8165680473372781,169,138,2.2,4,426,3,1,0,2,0,0,1,0,1,0,0,1
151,335.39573944459954,151,0.7936507936507936,189,150,2.2,4,426,3,1,0,2,0,0,1,0,1,0,0,1
152,1519.2944869407497,152,0.5380116959064327,171,92,2.7,3,1170,4,2,1,1,1,0,0,1,1,0,0,1
153,1671.9266599513355,153,0.569060773480663,181,103,2.7,3,1170,4,2,1,1,1,0,0,1,1,0,0,1
